2018-06-07 13:08:19.141 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.141 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.142 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.143 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.144 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionParser - Parsing logical expression 13<<2.
2018-06-07 13:08:19.147 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionInterpreter - Calculating logical expression: [13, 2, <<]
2018-06-07 13:08:19.149 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.150 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.153 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.154 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.154 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.155 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.155 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.156 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.156 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.156 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.157 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.157 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.157 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.157 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.157 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.157 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.158 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.158 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.158 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.158 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.158 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.159 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.159 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.159 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.159 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.159 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.160 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionParser - Parsing logical expression 3>>5.
2018-06-07 13:08:19.161 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionInterpreter - Calculating logical expression: [3, 5, >>]
2018-06-07 13:08:19.162 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.162 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.162 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.162 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.162 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.163 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.164 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.164 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.164 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionParser - Parsing logical expression ~6&9|(3&4).
2018-06-07 13:08:19.166 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionInterpreter - Calculating logical expression: [6, ~, 9, &, 3, 4, &, |]
2018-06-07 13:08:19.167 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.167 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.167 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.168 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.168 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.168 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.168 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.168 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.168 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.169 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.169 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.169 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.169 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.169 [main] DEBUG com.epam.task3.parserchain.SentenceParser - Parsing sentence.
2018-06-07 13:08:19.169 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.170 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.171 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.171 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.171 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.171 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.171 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.171 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.172 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.172 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.172 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.172 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.172 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.172 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.173 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionParser - Parsing logical expression 5|(1&2&(3|(4&(6^5|6&47)|3)|2)|1).
2018-06-07 13:08:19.176 [main] DEBUG com.epam.task3.interpreter.LogicalExpressionInterpreter - Calculating logical expression: [5, 1, 2, &, 3, 4, 6, 5, ^, 6, 47, &, |, &, 3, |, |, 2, |, &, 1, |, |]
2018-06-07 13:08:19.177 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.177 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.177 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.177 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.177 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.178 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.179 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.180 [main] DEBUG com.epam.task3.parserchain.TextParser - Parsing lexeme.
2018-06-07 13:08:19.180 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.180 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
2018-06-07 13:08:19.180 [main] DEBUG com.epam.task3.creator.TextLeafCreator - Creating character.
